blockNumber,targetBlock,initialSeed,tokenId,createTokenSeed,timestamp,parentBlockId,parentBlockHash,difficulty,details,heroRarity
13762220,13762206,43150791682455959589377615400730407620841956580952619946373526287187521107449,7439922,4996520321155781922949136218756572253639249006679283725447395712840003944174556710143789851419569225006263675910702294505289292782836763047100305344923186,1640372143,13762219,0x7ec9d61e05307305599f4e7dc90964f83a48ba4fc7af48e2d0af85f2df31e347,2,159734215185023626126992442930,0
13762221,13762210,59257471941744218446914939557152589457747665306532438838041116598555530917806,7439923,6861546479056207149274361801191380850892953487375788436849826658583971733442263430986498890681758897845915235671591551004294865647018462133319508398540339,1640372146,13762220,0x27278bc680795784f2c8d9a87ea4a4065fb37d2c0a42654d5214f64232ca91ed,2,80506043189314104531740624435,0
13762221,13762212,23424423199628724549995801980425826932469597061593779763849612700972261180945,7439924,2712362901464069033777119183379034324241015908573987640939866002632298348660860897264446028141771837308279356773373382312624299058774218435895058001659444,1640372146,13762220,0x27278bc680795784f2c8d9a87ea4a4065fb37d2c0a42654d5214f64232ca91ed,2,120122535249122297520692758068,0
13762222,13762210,59257471941744218446914939557152589457747665306532438838041116598555530917806,7439927,6861546479056207149274361801191380850892953487375788436849826658583971733442263430986498890681758897845915235671591551004294865647018462133319508398540343,1640372149,13762221,0xdf1de71a32e542814e778179136beac3dc2f5889fe6ff47b30cb15952457502d,2,2815156745469414250352731063863,1
13762223,13762213,5654776220703382094423161880590467954450998557471844909603538096089089402284,7439938,654778352764739640747459160225411456606727141250570056039225944305674427452596004192612101172745799300887595944962754074368644632947836847673702383453762,1640372152,13762222,0x56c45b9ba1a7528888df2f31e7154e9c28206821e47bbc7e75bbfc7044229bb1,2,2696315707155994713822176839234,1
13762223,13762212,23424423199628724549995801980425826932469597061593779763849612700972261180945,7439937,2712362901464069033777119183379034324241015908573987640939866002632298348660860897264446028141771837308279356773373382312624299058774218435895058001659457,1640372152,13762222,0x56c45b9ba1a7528888df2f31e7154e9c28206821e47bbc7e75bbfc7044229bb1,2,238964788428106079923747259969,0
13762223,13762214,114417616807584994274191383609981204521074938756606682596815223635278676624033,7439935,13248654895704931042269759727783351989891273060562340107134885861364192503405080089018017455446069183312646010805755639533243708978974587612952833341621823,1640372152,13762222,0x56c45b9ba1a7528888df2f31e7154e9c28206821e47bbc7e75bbfc7044229bb1,2,238964794367995952255055529535,0
13762224,13762213,5654776220703382094423161880590467954450998557471844909603538096089089402284,7439940,654778352764739640747459160225411456606727141250570056039225944305674427452596004192612101172745799300887595944962754074368644632947836847673702383453764,1640372155,13762223,0x6425c4f9fbd3a9d85ac22ade91d55e5dcd3582841ab2c8e8b7b9a07205a02285,2,159735413446248391448701535812,0
13762225,13762216,4975789520322452702207477385383185980873509814123627969456880055235436132208,7439947,576157064163280190183698434548011813388304857383272893713203482737073550390800355111827988050087557893000483753199850139626886352195391984567015540098635,1640372158,13762224,0x5eade88b9164ba600fb9809019c8ad15ffeda18a0e4657bb1e13ca5ddbc7d342,2,5350457940024139928857725732427,1
13762226,13762210,59257471941744218446914939557152589457747665306532438838041116598555530917806,7439953,6861546479056207149274361801191380850892953487375788436849826658583971733442263430986498890681758897845915235671591551004294865647018462133319508398540369,1640372161,13762225,0xf3eedaed4b856ab24a0def8f15576240613e15fb8e2b98a752f5f7e68cf82ed8,2,238963592489013843667931203153,0
13762227,13762220,17710072824615280604181149972472426154995807685105325747695770077029087220205,7439979,2050686332907221065891391212474336453916076524050441399499309485673248649398100302765775596923289745857710939473785550645609894105876708659419530801546859,1640372164,13762226,0x5aa619324113e280a59b6ab0264df7e79ba0c4f920cb289dca94027d6ef95247,2,278578870902905753370258146923,0
13762226,13762210,59257471941744218446914939557152589457747665306532438838041116598555530917806,7439968,6861546479056207149274361801191380850892953487375788436849826658583971733442263430986498890681758897845915235671591551004294865647018462133319508398540384,1640372161,13762225,0xf3eedaed4b856ab24a0def8f15576240613e15fb8e2b98a752f5f7e68cf82ed8,2,5310843845892257882822535120480,1
13762227,13762205,97565155621811153642930578834600994088764448188645859029708879993923747929071,7439983,11297273206213398981891742865594783119444414024386866756806647366654994566033535466293633844645860147376353683254199011137995853423364685781809227904419439,1640372164,13762226,0x5aa619324113e280a59b6ab0264df7e79ba0c4f920cb289dca94027d6ef95247,2,80506052707798017768850294383,0
13762227,13762220,17710072824615280604181149972472426154995807685105325747695770077029087220205,7439982,2050686332907221065891391212474336453916076524050441399499309485673248649398100302765775596923289745857710939473785550645609894105876708659419530801546862,1640372164,13762226,0x5aa619324113e280a59b6ab0264df7e79ba0c4f920cb289dca94027d6ef95247,2,159736636541546481189970347630,0
13762228,13762198,106655691742603281077322325089174923342992778343367653405662558899359923959822,7439985,12349885375927207198821109016395763691055809915589285811644799380974312973849061633122771756557649420438918572103411237655090974333097577593054602198091377,1640372167,13762227,0x8dd2b8f9ff840fc2dc09fa31ca4b94baa27cc00804df8df78da6b61591748f6d,2,7766918098624066764079014970993,1
13762228,13762216,4975789520322452702207477385383185980873509814123627969456880055235436132208,7439984,576157064163280190183698434548011813388304857383272893713203482737073550390800355111827988050087557893000483753199850139626886352195391984567015540098672,1640372167,13762227,0x8dd2b8f9ff840fc2dc09fa31ca4b94baa27cc00804df8df78da6b61591748f6d,2,238963571314240191376559015536,0
13762229,13762222,39245839257590875478225448594333987621915095087598901837626156808571927567281,7439987,4544357721508329837779088932741714891435626087323780373026171896738730061336826674381426990059149784397297813119458837304635217475495961172835771951974003,1640372170,13762228,0xe558a8698df447dacdb79e53257f07774e0249ea19884299bb68fe0b24ee5746,2,6459652220055733555074729870963,1
13762229,13762219,57348032964575125724943562917918923117680025551976811858630598015017758614343,7439991,6640448550618633803307355997174781117625881354673810789357024785648101485243760986799881380612349741682174660166901589602836240473772359856561785882642039,1640372170,13762228,0xe558a8698df447dacdb79e53257f07774e0249ea19884299bb68fe0b24ee5746,2,4043195670525502516187848869495,1
13762230,13762210,59257471941744218446914939557152589457747665306532438838041116598555530917806,7439993,6861546479056207149274361801191380850892953487375788436849826658583971733442263430986498890681758897845915235671591551004294865647018462133319508398540409,1640372173,13762229,0xa54127fd10c5f4a9f1aeace08990643ead2ba21da81c66a6b2b08520dca445ef,2,120121335769154793138210047609,0
13762230,13762221,100918598808671626307876279591097598929805193960417971877640308985055822696493,7439992,11685575398958616841968025230333992770191675968775781367256068972460847361184312934926747034248570267462821057335499478493571442876213620771159909707384440,1640372173,13762229,0xa54127fd10c5f4a9f1aeace08990643ead2ba21da81c66a6b2b08520dca445ef,2,159736624733429139697979983480,0
13762231,13762198,106655691742603281077322325089174923342992778343367653405662558899359923959822,7440000,12349885375927207198821109016395763691055809915589285811644799380974312973849061633122771756557649420438918572103411237655090974333097577593054602198091392,1640372176,13762230,0x5575f4d5ff51e59527fa643e178eef4abc9a62d8b3499dc1d85d1c57187bc4db,2,278576445967714548007627228800,0
